"City","State","Locations","Packages","Internets","TVs"
"Gilroy","California","[5826191]","[15904254]","[12700113]","[14000092]"
"Houghton","Michigan","[5826014]","[15898254]","[12701363]","[14001144]"
"Chapel Hill","North Carolina","[3872759]","[15899347]","[12704587]","[13993031]"
"Wells","Maine","[1457231]","[15899780]","[12702074]","[13990860]"
"Farmington","Missouri","[5825921]","[15903720]","[12702274]","[13998612]"
"Orchard Park","New York","[1747690]","[15903184]","[12703545]","[13997187]"
"Bradenton","Florida","[5826144]","[15904018]","[12704829]","[14001108]"
"Garfield Heights","Ohio","[1747562]","[15901394]","[13139021]","[13995846]"
"Amsterdam","New York","[1747702]","[15900323]","[12701000]","[13993208]"
"Findlay","Ohio","[1747618]","[15906200]","[12702852]","[13998187]"
"Willimantic","Connecticut","[5826010]","[15900076]","[12699671]","[13992557]"
"Bayside","New York","[11775125]","[15900295]","[12701585]","[13991733]"
"Titusville","Florida","[5826175]","[15899987]","[12702320]","[13999795]"
"Yucaipa","California","[12981708]","[15904710]","[12699421]","[13998965]"
"East Syracuse","New York","[1747718]","[15898464]","[12700190]","[13999673]"
"Big Rapids","Michigan","[5825956]","[15906122]","[12702086]","[13994532]"
"Alexander City","Alabama","[5826198]","[15898607]","[12702998]","[13994300]"
"New Philadelphia","Ohio","[1747721]","[15901440]","[12699390]","[13998045]"
"Port Arthur","Texas","[1747709]","[15898712]","[12703051]","[13999125]"
"Saratoga Springs","New York","[1747745]","[15905592]","[12700238]","[13993368]"
"Butte","Montana","[5826035]","[15899401]","[13140758]","[13995599]"
"Coos Bay","Oregon","[5825997]","[15903700]","[12701757]","[13997741]"
"Thomasville","North Carolina","[1747659]","[15900986]","[12703316]","[13999357]"
"Santa Ana","California","[1457263]","[15906321]","[12704882]","[13992308]"
"Sikeston","Missouri","[5826064]","[15903270]","[12704884]","[14001211]"
"Los Angeles","California","[1457221,1457222,15968124]","[15904097]","[12699629]","[13993976]"
"Canon City","Colorado","[15968118]","[15900640]","[12703344]","[13995809]"
"Rhinelander","Wisconsin","[5826192]","[15897798]","[12703549]","[13992296]"
"Menifee","California","[12922392]","[15898682]","[12702127]","[13997603]"
"Tampa","Florida","[5826131,11775157,13192843]","[15901012]","[12699577]","[14000841]"
"Big Bear Lake","California","[5826121]","[15903520]","[12701581]","[14001103]"
"Oak Creek","Wisconsin","[13477535]","[15897462]","[12701462]","[13998674]"
"Westminster","California","[1747596]","[15898679]","[12699667]","[13997468]"
"Baxter","Minnesota","[5826193]","[15899247]","[12698596]","[14000259]"
"Killeen","Texas","[2069569]","[15900818]","[12704934]","[13992453]"
"Desert Hot Springs","California","[1747550]","[15898990]","[12701259]","[13999666]"
"Dalton","Georgia","[5825958]","[15900860]","[12700027]","[13994133]"
"Rogersville","Tennessee","[5825954]","[15905619]","[12703055]","[13994879]"
"Falls City","Nebraska","[1457165]","[15900996]","[12702186]","[13999883]"
"Tuscaloosa","Alabama","[5826127]","[15904866]","[12704231]","[13994066]"
"Turlock","California","[15091767]","[15899551]","[12700159]","[13991696]"
"Livonia","Michigan","[5826002]","[15904042]","[12700959]","[13991606]"
"Cottage Grove","Oregon","[5826006]","[15898021]","[12700347]","[13990919]"
"West Allis","Wisconsin","[1747582]","[15896865]","[13140189]","[13994703]"
"Sedalia","Missouri","[5826042]","[15902750]","[12704061]","[14000198]"
"Raleigh","North Carolina","[8743016,12922402]","[15898188]","[12704299]","[13998283]"
"Wesley Chapel","Florida","[5826084]","[15905525]","[12704485]","[13990649]"
"Somerset","Kentucky","[1457268]","[15897607]","[12704141]","[13995535]"
"Clifton Park","New York","[12729307]","[15897357]","[12698607]","[13994340]"
"Grants Pass","Oregon","[13790673]","[15901733]","[12703435]","[13999252]"
"Arnold","Missouri","[5825984]","[15899507]","[12703578]","[14000669]"
"Plano","Texas","[1747732]","[15904390]","[12699401]","[13995520]"
"Salisbury","North Carolina","[1747558]","[15904546]","[12704463]","[13991036]"
"Sumter","South Carolina","[15865683]","[15905347]","[12699826]","[13993601]"
"Barre","Vermont","[5826082]","[15904776]","[12704490]","[13990677]"
"Fremont","Ohio","[1747599]","[15897442]","[12703852]","[13997764]"
"Coeur d'Alene","Idaho","[1457139]","[15906357]","[12702014]","[13993700]"
"Rochester","New York","[12903112]","[15906056]","[12703723]","[13991877]"
"Racine","Wisconsin","[1457255]","[15904694]","[12702973]","[13998066]"
"Winter Park","Florida","[12795484]","[15896955]","[12699420]","[13998962]"
"O'Fallon","Missouri","[5826196]","[15906465]","[12704297]","[13998676]"
"Waynesville","North Carolina","[5826005]","[15898209]","[12701245]","[13999166]"
"Elmhurst","New York","[1457254]","[15902513]","[12703847]","[14000933]"
"Wildwood","Florida","[15650613]","[15898692]","[12704403]","[13998321]"
"Garden City","South Carolina","[1457175]","[]","[]","[]"
"Milledgeville","Georgia","[5826171]","[15898063]","[12700799]","[13992896]"
"Niskayuna","New York","[13717646]","[15906693]","[13141129]","[13997834]"
"Asheboro","North Carolina","[1747754]","[15900138]","[12698678]","[13995366]"
"Georgetown","Kentucky","[1457179]","[15906531]","[12702939]","[13990739]"
"Clayton","North Carolina","[16048942]","[15902922]","[12699935]","[13996878]"
"Danville","Kentucky","[1747625]","[15902612]","[12703266]","[13994554]"
"Bowling Green","Ohio","[1747545]","[15905499]","[12700590]","[13999840]"
"Appleton","Wisconsin","[1457121]","[15900315]","[12700006]","[13992786]"
"Athens","Ohio","[1747651]","[15901703]","[12702999]","[13998345]"
"St. Louis","Missouri","[14191387]","[]","[]","[]"
"Sheboygan","Wisconsin","[5826015]","[15896931]","[12701892]","[13997872]"
"Telluride","Colorado","[1457278]","[15906379]","[12698998]","[13994687]"
"Slidell","Louisiana","[5826153]","[15899364]","[12701482]","[13993589]"
"Easthampton","Massachusetts","[5826027]","[15897109]","[12704510]","[13994557]"
"Hannibal","Missouri","[5826163]","[15905730]","[12703275]","[13999460]"
"Round Rock","Texas","[2069568]","[15900296]","[12703976]","[13991880]"
"Jeffersonville","Indiana","[1747676]","[15902646]","[12701693]","[13996080]"
"Auburn","New York","[1457122]","[15904201]","[12703161]","[13998132]"
"Martin","Tennessee","[5825964]","[15901978]","[12700963]","[13999728]"
"Dallas","Texas","[12729781,12903180,14922567]","[15900229]","[12699274]","[13999223]"
"Lanett","Alabama","[5826115]","[15897535]","[12703614]","[13992245]"
"Mexico","Maine","[5978958]","[15897490]","[12702535]","[13999940]"
"Presque Isle","Maine","[1747727]","[15905442]","[12699734]","[13997637]"
"Columbus","Georgia","[5825990]","[15906035]","[12700516]","[13990918]"
"East Rochester","New York","[1457153]","[15902397]","[12703931]","[13995417]"
"West Chester","Ohio","[13192671]","[15898734]","[12702737]","[14000432]"
"Springfield","Ohio","[1457272]","[15901312]","[12699995]","[13992529]"
"Youngstown","Ohio","[1747747]","[15906401]","[12704655]","[13995564]"
"Jamestown","New York","[12828742]","[15901167]","[12703699]","[13996932]"
"North Platte","Nebraska","[5826154]","[15897138]","[12701633]","[13995923]"
